sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:28:34.083 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1525,1487169466,10.5398245,-10.11572,-8.442514,0,81.59633252660896,-33.84985285659003,-38.37039810769981
1526,1487186133,9.032958,-8.711002,-9.23264,0,78.9265043829534,-32.11687945081967,-37.97753077337998
1527,1487202800,7.2566166,-7.7023263,-9.612391,0,76.78627548262503,-30.845793529108242,-37.815550717840466
1528,1487219467,6.045634,-6.927065,-9.528256,0,74.92646890233448,-29.90993059475954,-37.95789096581497
1529,1487236134,5.1213727,-6.1550727,-9.18264,0,73.11012262649642,-29.237262154242732,-38.50062721742343
1530,1487252801,4.803436,-6.279703,-9.029589,0,71.16161616987068,-28.796133087371036,-39.51005463097337
1531,1487269468,4.612848,-6.45086,-9.140779,0,69.05268496403802,-28.622657324194968,-40.94700924924492
1532,1487286135,4.5080104,-6.7000737,-10.381731,0,67.03613591769876,-28.65069644923512,-42.76013307701764
1533,1487302802,4.2600274,-6.9734745,-10.960207,0,65.502011286632,-28.859005844998414,-44.83476003185359
1534,1487319469,3.8302364,-7.0865965,-10.798096,0,64.4974335232795,-29.246901384659985,-47.193326613279034
1535,1487336136,3.3162594,-7.1072626,-10.094409,0,63.91927182840685,-29.80719439755052,-49.92092565073985
1536,1487352803,2.6796167,-7.1382837,-9.5219755,0,63.55843597460441,-30.554052486725066,-53.15026259147118
1537,1487369470,1.9556961,-7.2574086,-9.11232,0,63.31541486870541,-31.494795104708253,-56.94705221825353
1538,1487386137,1.25117,-7.353554,-8.756384,0,63.176056638396744,-32.60103217245053,-61.32918140944759
1539,1487402804,0.757773,-8.986995,-9.229131,0,63.246280463947826,-33.80678821141347,-66.24087563057046
1540,1487419471,0.026896767,-10.827532,-9.239845,0,63.934143395715594,-34.941436074433916,-71.4573979633829
1541,1487436138,-0.92776674,-12.389606,-9.2362995,0,65.37853325202946,-35.899807397416325,-76.8304927116018
1542,1487452805,-3.0690446,-13.091318,-8.494137,0,67.59065860622567,-36.62718300388925,-82.21186041465918
1543,1487469472,-5.24528,-12.44982,-7.6492405,0,70.3126958767868,-37.17335749570991,-87.52975488709187
