sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
128, 1352647104, 0.5061735, 0.6113531, -0.1378405, -0.5924824, 3.5906835, 9.137614, -0.15516376, 0
129, 1352663771, 0.45022255, 0.61630625, -0.18721989, -0.6183968, 7.121359, 7.7472496, -0.89027023, 0
130, 1352680438, 0.39450064, 0.6183915, -0.23232669, -0.63873714, 12.228787, 4.898892, -1.1074257, 0
131, 1352697105, 0.34321675, 0.62026465, -0.26756015, -0.65259886, 15.906486, 1.8691695, 1.1239309, 0
132, 1352713772, 0.3052817, 0.6214868, -0.28699785, -0.6619587, 15.276742, -2.4573576, 4.3032017, 0
133, 1352730439, 0.28092295, 0.62340975, -0.29302174, -0.66826683, 12.653871, -2.8744903, 3.2570868, 0
134, 1352747106, 0.26466417, 0.62632984, -0.2927453, -0.6722824, 12.939647, -3.438888, 3.699932, 0
135, 1352763773, 0.25920236, 0.6304666, -0.28483546, -0.67393947, 13.71348, -5.81921, 3.8498983, 0
136, 1352780440, 0.26776814, 0.6359753, -0.2668359, -0.6727805, 12.989412, -5.0375633, 0.19292068, 0
137, 1352797107, 0.28011543, 0.6452287, -0.24645509, -0.66668946, 12.910531, -2.717155, -1.8483391, 0
138, 1352813774, 0.2950842, 0.6576801, -0.22293468, -0.65626353, 11.347605, -2.681346, -2.265655, 0
139, 1352830441, 0.31305677, 0.6717802, -0.19525743, -0.64232475, 7.6196656, -2.2853074, -0.19831276, 0
140, 1352847108, 0.3313674, 0.6856202, -0.16801879, -0.6260111, 5.397666, -0.71625644, 1.5021019, 0
141, 1352863775, 0.34940994, 0.69834733, -0.14336553, -0.6080046, 3.4248538, -1.792273, 4.06254, 0
142, 1352880442, 0.3698928, 0.7083104, -0.120838985, -0.5889593, 1.9861115, -1.8167862, 4.7148933, 0
143, 1352897109, 0.3927341, 0.71526355, -0.10058857, -0.5692447, 0.34693, -1.6868677, 3.998128, 0
144, 1352913776, 0.4116387, 0.7231192, -0.08469946, -0.54815865, -1.5982894, 0.9312261, 1.2662859, 0
145, 1352930443, 0.4271371, 0.7304744, -0.071310334, -0.5280868, -3.8111403, -1.1390826, 1.4398565, 0
146, 1352947110, 0.44064322, 0.73694277, -0.057976007, -0.50930095, -6.2654443, -1.7303251, -0.37856865, 0
147, 1352963777, 0.45359686, 0.7411044, -0.045560963, -0.49288756, -7.6374164, -3.5479112, 2.3639164, 0
148, 1352980444, 0.4703745, 0.73987734, -0.033633806, -0.47978935, -9.784631, -4.4413147, 2.039443, 0
149, 1352997111, 0.4899535, 0.73402077, -0.0232205, -0.4697018, -8.999326, -2.5225484, -0.34192085, 0
150, 1353013778, 0.5043951, 0.72998023, -0.016547484, -0.46091247, -6.874793, 0.061356764, -3.5275507, 0
151, 1353030445, 0.5094894, 0.7314999, -0.01388841, -0.45291844, -4.102338, 0.25203007, -1.103118, 0
152, 1353047112, 0.51607513, 0.73171145, -0.010230509, -0.44515136, -1.2301979, 1.5802703, -0.6823387, 0
153, 1353063779, 0.52277696, 0.7315494, -0.004906044, -0.43762454, 0.57981026, 2.278493, 0.18688965, 0
154, 1353080446, 0.5331853, 0.72887707, 0.0033876156, -0.42946452, 0.7549644, 2.3400674, -0.5534649, 0
155, 1353097113, 0.5396577, 0.72875386, 0.011449588, -0.421374, -1.9923295, 1.6117452, 0.6149826, 0
156, 1353113780, 0.54870856, 0.72554743, 0.01869879, -0.4149092, -2.0641034, 0.24604216, 0.84155846, 0
157, 1353130447, 0.55543387, 0.7240535, 0.023885861, -0.40825096, -0.9928095, 2.224048, -0.898448, 0
158, 1353147114, 0.5578252, 0.72603256, 0.026975121, -0.40122324, -0.57245874, 2.4908068, -0.42765522, 0
159, 1353163781, 0.56064767, 0.7278589, 0.030194366, -0.3936794, -0.5314032, 1.3220172, -0.24150276, 0
